"DateTime","NIFTY BANK"
"2000-08-03 00:00:00",1006.1
"2000-08-04 00:00:00",1009.51
"2000-08-07 00:00:00",986.89
"2000-08-08 00:00:00",1017.43
"2000-08-09 00:00:00",1009.9
"2000-08-10 00:00:00",1001.34
"2000-08-11 00:00:00",994.6
"2000-08-14 00:00:00",991.83
"2000-08-16 00:00:00",1008.41
"2000-08-17 00:00:00",999.36
"2000-08-18 00:00:00",987.1
"2000-08-21 00:00:00",981.29
"2000-08-22 00:00:00",975.52
"2000-08-23 00:00:00",985.4
"2000-08-24 00:00:00",981.2
"2000-08-25 00:00:00",994.7
"2000-08-28 00:00:00",995.55
"2000-08-29 00:00:00",989.37
"2000-08-30 00:00:00",1006.13
"2000-08-31 00:00:00",1003.07
"2000-09-04 00:00:00",1015.61
"2000-09-05 00:00:00",1027.16
"2000-09-06 00:00:00",1036.57
"2000-09-07 00:00:00",1035.05
"2000-09-08 00:00:00",1044.64
"2000-09-11 00:00:00",1039.26
"2000-09-12 00:00:00",1029.97
"2000-09-13 00:00:00",997.74
"2000-09-14 00:00:00",987.66
"2000-09-15 00:00:00",959.49
"2000-09-18 00:00:00",920.64
"2000-09-19 00:00:00",938.91
"2000-09-20 00:00:00",945.15
"2000-09-21 00:00:00",937.44
"2000-09-22 00:00:00",908.28
"2000-09-25 00:00:00",925.06
"2000-09-26 00:00:00",917.41
"2000-09-27 00:00:00",915.51
"2000-09-28 00:00:00",901.51
"2000-09-29 00:00:00",907.53
"2000-10-03 00:00:00",892.85
"2000-10-04 00:00:00",890.22
"2000-10-05 00:00:00",870.77
"2000-10-06 00:00:00",866.04
"2000-10-09 00:00:00",870.42
"2000-10-10 00:00:00",852.46
"2000-10-11 00:00:00",850.27
"2000-10-12 00:00:00",859.34
"2000-10-13 00:00:00",856.54
"2000-10-16 00:00:00",860.21
"2000-10-17 00:00:00",851.15
"2000-10-18 00:00:00",844.74
"2000-10-19 00:00:00",857.21
"2000-10-20 00:00:00",857.09
"2000-10-23 00:00:00",831.77
"2000-10-24 00:00:00",829.96
"2000-10-25 00:00:00",841.28
"2000-10-26 00:00:00",850.29
"2000-10-27 00:00:00",845.39
"2000-10-30 00:00:00",846.09
"2000-10-31 00:00:00",861.27
"2000-11-01 00:00:00",885.52
"2000-11-02 00:00:00",898.8
"2000-11-03 00:00:00",908.43
"2000-11-06 00:00:00",910.51
"2000-11-07 00:00:00",908.01
"2000-11-08 00:00:00",915.42
"2000-11-09 00:00:00",908.7
"2000-11-10 00:00:00",897.58
"2000-11-13 00:00:00",878.06
"2000-11-14 00:00:00",897.31
"2000-11-15 00:00:00",930.34
"2000-11-16 00:00:00",949.6
"2000-11-17 00:00:00",919.39
"2000-11-20 00:00:00",919.12
"2000-11-21 00:00:00",910.35
"2000-11-22 00:00:00",912.87
"2000-11-23 00:00:00",900.45
"2000-11-24 00:00:00",909.55
"2000-11-27 00:00:00",937.83
"2000-11-28 00:00:00",958.16
"2000-11-29 00:00:00",944.23
"2000-11-30 00:00:00",941.08
"2000-12-01 00:00:00",946.47
"2000-12-04 00:00:00",961.92
"2000-12-05 00:00:00",963.8
"2000-12-06 00:00:00",963.58
"2000-12-07 00:00:00",967.87
"2000-12-08 00:00:00",992.82
"2000-12-11 00:00:00",998.67
"2000-12-12 00:00:00",994.74
"2000-12-13 00:00:00",1018.01
"2000-12-14 00:00:00",1002.51
"2000-12-15 00:00:00",973.55
"2000-12-18 00:00:00",970.5
"2000-12-19 00:00:00",979.06
"2000-12-20 00:00:00",984.64
"2000-12-21 00:00:00",969.73
"2000-12-22 00:00:00",947.68
"2000-12-26 00:00:00",925.84
"2000-12-27 00:00:00",936.97
"2000-12-28 00:00:00",961.81
"2000-12-29 00:00:00",971.73
"2001-01-01 00:00:00",977.94
"2001-01-02 00:00:00",1015.79
"2001-01-03 00:00:00",1043.74
"2001-01-04 00:00:00",1034.66
"2001-01-05 00:00:00",1046.99
"2001-01-08 00:00:00",1033.98
"2001-01-09 00:00:00",1027.94
"2001-01-10 00:00:00",1031.27
"2001-01-11 00:00:00",1031.78
"2001-01-12 00:00:00",1049.51
"2001-01-15 00:00:00",1057.52
"2001-01-16 00:00:00",1068
"2001-01-17 00:00:00",1057.49
"2001-01-18 00:00:00",1054.72
"2001-01-19 00:00:00",1068.69
"2001-01-22 00:00:00",1073.29
"2001-01-23 00:00:00",1092.05
"2001-01-24 00:00:00",1093.67
"2001-01-25 00:00:00",1121.02
"2001-01-29 00:00:00",1085.88
"2001-01-30 00:00:00",1093.3
"2001-01-31 00:00:00",1094.09
"2001-02-01 00:00:00",1080.88
"2001-02-02 00:00:00",1102.81
"2001-02-05 00:00:00",1128.24
"2001-02-06 00:00:00",1133.67
"2001-02-07 00:00:00",1134.01
"2001-02-08 00:00:00",1177.74
"2001-02-09 00:00:00",1244.64
"2001-02-12 00:00:00",1233.37
"2001-02-13 00:00:00",1199.81
"2001-02-14 00:00:00",1202.86
"2001-02-15 00:00:00",1197.64
"2001-02-16 00:00:00",1139.75
"2001-02-19 00:00:00",1149.56
"2001-02-20 00:00:00",1143.82
"2001-02-21 00:00:00",1153.56
"2001-02-22 00:00:00",1127.75
"2001-02-23 00:00:00",1089.81
"2001-02-26 00:00:00",1090.46
"2001-02-27 00:00:00",1086.55
"2001-02-28 00:00:00",1171.65
"2001-03-01 00:00:00",1246.48
"2001-03-02 00:00:00",1238.15
"2001-03-05 00:00:00",1226.43
"2001-03-07 00:00:00",1214.78
"2001-03-08 00:00:00",1215.22
"2001-03-09 00:00:00",1184.86
"2001-03-12 00:00:00",1129.37
"2001-03-13 00:00:00",1057.12
"2001-03-14 00:00:00",1098.69
"2001-03-15 00:00:00",1117.11
"2001-03-16 00:00:00",1080.19
"2001-03-19 00:00:00",1081.65
"2001-03-20 00:00:00",1070.35
"2001-03-21 00:00:00",1084.69
"2001-03-22 00:00:00",1055.65
"2001-03-23 00:00:00",1037.46
"2001-03-26 00:00:00",1031.9
"2001-03-27 00:00:00",1027.01
"2001-03-28 00:00:00",1039.05
"2001-03-29 00:00:00",1040.9
"2001-03-30 00:00:00",991.51
"2001-04-02 00:00:00",960.27
"2001-04-03 00:00:00",970.45
"2001-04-04 00:00:00",970.06
"2001-04-06 00:00:00",968.43
"2001-04-09 00:00:00",974.95
"2001-04-10 00:00:00",964.02
"2001-04-11 00:00:00",977.64
"2001-04-12 00:00:00",963.35
"2001-04-16 00:00:00",985.97
"2001-04-17 00:00:00",1017.88
"2001-04-18 00:00:00",1043.69
"2001-04-19 00:00:00",1051.72
"2001-04-20 00:00:00",1039.52
"2001-04-23 00:00:00",1040.88
"2001-04-24 00:00:00",1037.48
"2001-04-25 00:00:00",1037.13
"2001-04-26 00:00:00",1040.23
"2001-04-27 00:00:00",996.95
"2001-04-30 00:00:00",992.76
"2001-05-02 00:00:00",1012.2
"2001-05-03 00:00:00",1003.26
"2001-05-04 00:00:00",1024.42
"2001-05-07 00:00:00",1048.21
"2001-05-08 00:00:00",1052.51
"2001-05-09 00:00:00",1041.19
"2001-05-10 00:00:00",1075.81
"2001-05-11 00:00:00",1059.35
"2001-05-14 00:00:00",1070.86
"2001-05-15 00:00:00",1063.38
"2001-05-16 00:00:00",1060.41
"2001-05-17 00:00:00",1072.46
"2001-05-18 00:00:00",1061.18
"2001-05-21 00:00:00",1049.76
"2001-05-22 00:00:00",1040.02
"2001-05-23 00:00:00",1046.15
"2001-05-24 00:00:00",1045.19
"2001-05-25 00:00:00",1030.83
"2001-05-28 00:00:00",1041.87
"2001-05-29 00:00:00",1058.39
"2001-05-30 00:00:00",1040.46
"2001-05-31 00:00:00",1034.54
"2001-06-01 00:00:00",1021.04
"2001-06-04 00:00:00",1012.14
"2001-06-05 00:00:00",998.01
"2001-06-06 00:00:00",1010.44
"2001-06-07 00:00:00",1033.63
"2001-06-08 00:00:00",1036.9
"2001-06-11 00:00:00",1041.18
"2001-06-12 00:00:00",1018.69
"2001-06-13 00:00:00",1031.1
"2001-06-14 00:00:00",1012.39
"2001-06-15 00:00:00",994.41
"2001-06-18 00:00:00",978.31
"2001-06-19 00:00:00",1008.67
"2001-06-20 00:00:00",1022.45
"2001-06-21 00:00:00",1028.42
"2001-06-22 00:00:00",1015.99
"2001-06-25 00:00:00",977.21
"2001-06-26 00:00:00",990.77
"2001-06-27 00:00:00",991.51
"2001-06-28 00:00:00",992.66
"2001-06-29 00:00:00",986.95
"2001-07-02 00:00:00",987.64
"2001-07-03 00:00:00",984.94
"2001-07-04 00:00:00",991.96
"2001-07-05 00:00:00",991.85
"2001-07-06 00:00:00",982.16
"2001-07-09 00:00:00",978.61
"2001-07-10 00:00:00",971.25
"2001-07-11 00:00:00",981.95
"2001-07-12 00:00:00",1005.36
"2001-07-13 00:00:00",1004.62
"2001-07-16 00:00:00",1006.09
"2001-07-17 00:00:00",999.32
"2001-07-18 00:00:00",1002.94
"2001-07-19 00:00:00",1000.27
"2001-07-20 00:00:00",984.92
"2001-07-23 00:00:00",981.89
"2001-07-24 00:00:00",969.27
"2001-07-25 00:00:00",963.75
"2001-07-26 00:00:00",951.55
"2001-07-27 00:00:00",972.85
"2001-07-30 00:00:00",966.32
"2001-07-31 00:00:00",960.83
"2001-08-01 00:00:00",971.52
"2001-08-02 00:00:00",972.09
"2001-08-03 00:00:00",968.11
"2001-08-06 00:00:00",966.43
